,title,company,location,pay,rating,job
48,newSearch Data Analyst (15013) - Toronto (Remote),Getty Images,"Temporarily Remote in Toronto, ON+2 locations",,3.9,Data Analyst
49,Data Analyst,Dapper Labs,Remote,,,Data Analyst
50,Data Analyst - Contractor,TELUS,"Toronto, ON+1 location",,3.9,Data Analyst
51,"Associate, Business Analyst",Capital One,"Hybrid remote in Toronto, ON",,3.9,Data Analyst
52,Research Analyst,IPSOS,"Toronto, ON",,3.9,Data Analyst
53,Business_Analyst(Data),Capgemini,"Toronto, ON",,3.8,Data Analyst
54,newData Analyst,AMSSA (Affiliation of Multicultural Society and...,"Hybrid remote in Vancouver, BC",$35 an hour,,Data Analyst
55,new22-017 Evaluation and Data Analyst,CASA Services,Canada,$29.29–$37.57 an hour,,Data Analyst
56,newSmart Growth (Spatial Research) Analyst,McDonald's Corporate,"Hybrid remote in Toronto, ON",,3.5,Data Analyst
57,Game Data Analyst,Eastside Games Studio,Remote,,,Data Analyst
58,Data Analyst,Centre for Gender and Sexual Health Equity,"Head, ON","$54,705–$59,479 a year",,Data Analyst
59,newData Analyst,AMBER STUDIO,"Remote in Montréal, QC",,,Data Analyst
60,Data Analyst,Zensurance,"Remote in Toronto, ON",,,Data Analyst
61,Data Science Analyst (Remote),Yelp,"Remote in Greater Toronto Area, ON",,3.4,Data Analyst
62,E-Commerce Analyst,Gordon Food Service Canada,"Milton, ON",,3.5,Data Analyst
63,Data Analyst,GFD,"Toronto, ON",,,Data Analyst
64,newCompensation Analyst,H&M,"Toronto, ON",,3.7,Data Analyst
65,newdatabase analyst,SME NETWORK GROUP LTD,"Vancouver, BC",$37.50 an hour,,Data Analyst
66,newData Analyst,DecisivEdge,"Markham, ON",,,Data Analyst
67,2022 FALL Student - Data Analyst Student,Canadian Nuclear Laboratories,Remote,,3.5,Data Analyst
68,newBusiness Analyst with SQL,Virtusa,"Mississauga, ON","$85,000–$100,000 a year",3.7,Data Analyst
69,"Intermediate Data Analyst, ES-03",Canada Revenue Agency,"Temporarily Remote in Ottawa, ON","$73,386–$88,891 a year",4.0,Data Analyst
70,Jr. Data/Reporting Analyst,Scarsin,"Markham, ON",,,Data Analyst
71,Data Analyst (Business Intelligence),Hive Media Group,"Temporarily Remote in Toronto, ON",,,Data Analyst
72,Data Analyst,Coca-Cola Canada Bottling Limited,"Toronto, ON",,3.4,Data Analyst
73,"Analyst, Data Analytics & Insights (Remote)",Canadian Tire Corporation,"Remote in Toronto, ON",,3.6,Data Analyst
74,newSenior Traffic Data Analyst (Departmental Data Analyst),York Region,"Sharon, ON",$49.84–$54.17 an hour,4.2,Data Analyst
75,newAnalyst,NMG Consulting,"Toronto, ON",,,Data Analyst
76,newInformation Management Systems Business Analyst,York Region,"Newmarket, ON",$44.63–$48.51 an hour,4.2,Data Analyst
77,newData Standards Analyst,McDonald's Corporate,"Hybrid remote in Toronto, ON",,3.5,Data Analyst
78,newData Analyst,Ottawa Sports & Entertainment Group,"Ottawa, ON",,3.7,Data Analyst
79,newData Analyst (Remote),Dawn InfoTek Inc.,"Remote in Toronto, ON+3 locations",$30–$45 an hour,,Data Analyst
80,"Data Analyst, Finance",Dapper Labs,Remote,,,Data Analyst
81,Investment Banking Analyst Co-Op,Raymond James Financial,"Toronto, ON",,3.8,Data Analyst
82,Data Analyst,MSi Corp (Bell Canada),"Toronto, ON+2 locations",,3.6,Data Analyst
83,neweHealth Data Analyst,Keewaytinook Okimakanak,"Kenora, ON",,,Data Analyst
84,"Business Data Analyst - Life Sciences & Healthcare, Omnia AI",Deloitte,Ontario,,4.0,Data Analyst
85,newTeam Lead - Board Certified Behaviour Analyst - Behaviour An...,Hamilton Wentworth District School,"Hamilton, ON","$91,105–$102,541 a year",,Data Analyst
86,Data Governance Analyst,Trackunit,"Remote in Kitchener, ON+1 location",,,Data Analyst
87,Policy Analyst - Justice,Ontario Federation of Indigenous Friendship...,"Toronto, ON",,,Data Analyst
88,SAP MDM Data Analyst,HRC Global Services,"Mississauga, ON",$60–$80 an hour,,Data Analyst
89,newData Quality Analyst,Parallel Domain,"Remote in Vancouver, BC",,,Data Analyst
90,Data Analyst,Aecon Group,"Toronto, ON",,4.0,Data Analyst
91,Data Analyst,Binance.US,"Vancouver, BC",,,Data Analyst
92,Data Analyst,Logibec Inc,"Remote in Vancouver, BC",,4.3,Data Analyst
93,newSupply Chain Analyst,Metrie,"Halton Hills, ON",,3.2,Data Analyst
94,Data Analyst – Remote,League Inc,"Remote in Toronto, ON",,3.0,Data Analyst
95,Data Insight and Reporting Analyst,HomeEquity Bank,"Toronto, ON",,2.3,Data Analyst
96,Data Analyst,Workday,"Toronto, ON",,4.0,Data Analyst
97,newJr. Business Analyst - Carriers,Shipfusion,"Toronto, ON",,4.3,Data Analyst
98,newProcess Engineering Analyst,Stelco,"Nanticoke, ON",,3.2,Data Analyst
99,database analyst,Delbridge Solutions Inc.,"Remote in Concord, ON","$62,800 a year",4.0,Data Analyst
100,newTalent Operations Data Analyst,WildBrain,"Remote in Toronto, ON",,3.7,Data Analyst
101,Data Analyst .,Dawn InfoTek Inc.,"Toronto, ON",$50–$65 an hour,,Data Analyst
102,Researcher & Data Analyst,"Homelessness Services Association of BC - Burnaby,...","Burnaby, BC",$34.96 an hour,,Data Analyst
103,Data Analyst,MaxSold,"Kingston, ON",,3.6,Data Analyst
104,newMarketing Data Analyst,Nestle,"North York, ON",,4.2,Data Analyst
105,Data Analyst .,Dawn InfoTek Inc.,"Toronto, ON",$50–$65 an hour,,Data Analyst
106,Researcher & Data Analyst,"Homelessness Services Association of BC - Burnaby,...","Burnaby, BC",$34.96 an hour,,Data Analyst
107,Data Analyst,MaxSold,"Kingston, ON",,3.6,Data Analyst
108,newMarketing Data Analyst,Nestle,"North York, ON",,4.2,Data Analyst
109,Supply Chain Analyst,Yamaha Motor Canada,"Remote in Toronto, ON",,4.3,Data Analyst
110,Actuarial Analyst - Data Science,Aviva,"Montréal, QC",,3.8,Data Analyst
111,newCustomer Experience Analyst,Assurant,+3 locationsRemote,,3.5,Data Analyst
112,"Analyst, Investment Funds",Institutional Shareholder Services,"Toronto, ON",,3.3,Data Analyst
113,newmarketing analyst,Dr. Kiarash Gharabaghi Dentistry Professional...,"Woodbridge, ON",$36 an hour,,Data Analyst
114,Data Analyst - Remote,Tucows,"Remote in Toronto, ON",,3.0,Data Analyst
115,newData Operations Analyst (Remote Optional),Basis Technologies,"Remote in Toronto, ON",,,Data Analyst
116,newSenior Data Analyst,Binance.us,Remote,"$65,000–$87,500 a year",,Data Analyst
117,newData Analyst,DarkVision,"North Vancouver, BC",,3.6,Data Analyst
118,Business Analytics Analyst - MBC,Martin Brower,"Mississauga, ON",,3.4,Data Analyst
119,Data Analyst,Trader Corporation,"Toronto, ON",,3.6,Data Analyst
120,Data Analyst,Metrolinx,Canada,"$67,201 a year",3.9,Data Analyst
121,"Data Analyst, Business Intelligence (BI)",CFMWS,"Remote in Ottawa, ON","$67,130–$79,010 a year",3.7,Data Analyst
122,Data Analyst II,Coconut Software,Canada,,,Data Analyst
123,Data Analyst,Tetra Tech,"Remote in Vancouver, BC",,3.7,Data Analyst
124,newProject Coordinator/Data Analyst,Western University,"London, ON",,4.3,Data Analyst
125,Customer Analytics Analyst,EDC,"Remote in Toronto, ON+1 location","$46,600–$69,900 a year",3.8,Data Analyst
126,newData Governance Analyst,TELUS,"Toronto, ON",,3.9,Data Analyst
127,Data Analyst,MaintainX,"Montréal, QC",,,Data Analyst
128,Data Analyst - Remote,Elemy,"Remote in Toronto, ON+1 location",,,Data Analyst
129,newSenior Data Analyst,York University,"Toronto, ON","$74,126 a year",4.2,Data Analyst
130,"Data Analyst, Traction Rec",Uncommon Purpose,Remote,,,Data Analyst
131,newBusiness & Data Analyst,University of Toronto,"Toronto, ON",,4.4,Data Analyst
132,Program Management Office (PMO) Analyst,APV,"Remote in Spanish, ON",,,Data Analyst
133,database analyst,AJC & Associates Inc.,"Remote in Scarborough, ON",$40 an hour,,Data Analyst
134,Lab Clinical Data Analyst,IQVIA,Remote,,3.8,Data Analyst
135,"newanalyst, database",VGH & UBC Hospital Foundation,"Vancouver, BC","$74,308–$84,441 a year",3.7,Data Analyst
136,IT Data Analyst,BC Transit,"Victoria, BC","$5,635–$6,766 a month",3.1,Data Analyst
137,Research Analyst,Centre for Addiction and Mental Health,"Toronto, ON",$25.03–$33.38 an hour,4.0,Data Analyst
138,Resource Management Data Analyst,KPMG,"Toronto, ON",,3.9,Data Analyst
139,"Data Analyst, Competitive Intelligence",Klue,"Remote in Vancouver, BC",,5.0,Data Analyst
140,Business Analyst,Direct Travel,Remote in Canada,,,Data Analyst
141,"newData Analyst, Redemption Optimization R&D",Air Canada,"Montréal, QC",,3.8,Data Analyst
142,Data Analyst,Electronic Arts,"Vancouver, BC",,3.8,Data Analyst
143,Junior Financial Data Analyst,Lawson Lundell LLP,"Calgary, AB",,2.7,Data Analyst
144,Data Scientist Analyst,Sobeys,"Toronto, ON",,3.6,Data Analyst
145,"Analyst, Corporate Banking",CIBC,"Toronto, ON",,3.8,Data Analyst
146,Economic Analyst,Government of Alberta,"Edmonton, AB","$5,112–$6,712 a month",3.9,Data Analyst
147,Jr Business Analyst,Aviva,"Markham, ON",,3.8,Data Analyst
148,Data Analyst,SS&C Technologies,"Mississauga, ON",,3.2,Data Analyst
149,"newAnalyst, Analytics",Ontario Health,Ontario,,4.3,Data Analyst
150,Data Analyst,Fintech社区,"Toronto, ON",,,Data Analyst
151,Data Analyst - Product & Partnerships,Moneris Solutions,"Remote in Toronto, ON",,3.4,Data Analyst
152,Senior Data and Reporting Analyst - #CStech,Royal Bank of Canada,"Toronto, ON",,4.0,Data Analyst
153,ANALYSTE DE DONNÉES/ DATA ANALYST,Frima Studio,"Remote in Quebec City, QC",,4.0,Data Analyst
154,Data Analyst II (Canada Remote),Fullscript,"Remote in Ottawa, ON",,3.2,Data Analyst
155,newIntern Productivity analyst,Rio Tinto,"Montréal, QC",,3.9,Data Analyst
156,newInventory Analyst,Purdys Chocolatier,"Vancouver, BC",,3.9,Data Analyst
157,Product Data Analyst-Remote- Ontario Canada,Mitel,"Remote in Ottawa, ON",,3.3,Data Analyst
158,Data Analyst,"JELD-WEN, inc","Woodbridge, ON",,3.1,Data Analyst
159,newBusiness Analyst,Canadian Tire Corporation,"Brampton, ON+1 location",,3.6,Data Analyst
160,newHealth Research Analyst,Yukon Government,"Whitehorse, YT","$85,241–$98,915 a year",3.8,Data Analyst
161,newServicing Analyst,BMO Financial Group,"Toronto, ON",,3.8,Data Analyst
162,Resreach Analyst,TD Bank,"Toronto, ON",,3.8,Data Analyst
163,"Analyst, Provincial Diagnostic Network",Ontario Health,Ontario,,4.3,Data Analyst
164,Data and Research Analyst,YouthLink,"Toronto, ON","$56,213 a year",4.1,Data Analyst
165,newInventory Analyst,Purdys Chocolatier,"Vancouver, BC",,3.9,Data Analyst
166,Product Data Analyst-Remote- Ontario Canada,Mitel,"Remote in Ottawa, ON",,3.3,Data Analyst
167,Data Analyst,"JELD-WEN, inc","Woodbridge, ON",,3.1,Data Analyst
168,newBusiness Analyst,Canadian Tire Corporation,"Brampton, ON+1 location",,3.6,Data Analyst
169,newHealth Research Analyst,Yukon Government,"Whitehorse, YT","$85,241–$98,915 a year",3.8,Data Analyst
170,newServicing Analyst,BMO Financial Group,"Toronto, ON",,3.8,Data Analyst
171,Resreach Analyst,TD Bank,"Toronto, ON",,3.8,Data Analyst
172,"Analyst, Provincial Diagnostic Network",Ontario Health,Ontario,,4.3,Data Analyst
173,Data and Research Analyst,YouthLink,"Toronto, ON","$56,213 a year",4.1,Data Analyst
174,newdatabase analyst,Click Studio,"North Vancouver, BC",$38 an hour,,Data Analyst
175,Data Governance Analyst,TD Bank,"Toronto, ON",,3.8,Data Analyst
176,Data Analyst Full-time,Manitoba Agricultural Services Corporation,Manitoba,"$67,671–$84,523 a year",,Data Analyst
177,Data Analyst - Reporting,Score Media and Gaming Inc.,"Remote in Toronto, ON",,,Data Analyst
178,Data Analyst - Land,Fugro,"Mississauga, ON",,3.9,Data Analyst
179,newV13 Policetech Accelerator Analyst Intern,Northumberland Community Futures Development Corp.,"Temporarily Remote in Cobourg, ON",$15.50 an hour,,Data Analyst
180,Inbound Logistics Analyst (Contract Position),New Balance,"Remote in Mississauga, ON",,3.9,Data Analyst
181,newData Analyst,Copperstone Connect,"Remote in Calgary, AB",,,Data Analyst
182,Data Analyst,Walker Environmental,"Woodbridge, ON",,4.0,Data Analyst
183,Data Analyst,SYNNEX Corporation,"Toronto, ON",,3.5,Data Analyst
184,newDatabase Administrator and Data Analyst,KEV Group,Remote,,3.6,Data Analyst
185,newQuality Assurance Analyst,OMERS,"Toronto, ON",,3.4,Data Analyst
186,newMarketing Intelligence Analyst,BMO Financial Group,"Toronto, ON",,3.8,Data Analyst
187,Systems & Data Analyst,Canadian Red Cross,Remote in Canada,,4.0,Data Analyst
188,Data Engineer/Analyst,Software International,"Remote in St. Catharines, ON",,,Data Analyst
189,newBusiness Systems Analyst (C1425),City of London,"London, ON","$55,175–$80,171 a year",3.9,Data Analyst
190,newData Analyst - Fraud,Mistplay,"Montréal, QC",,,Data Analyst
191,database analyst,VGM Wire & Automation,"Edmonton, AB",$42.05 an hour,,Data Analyst
192,Microbiology Analyst (Inventory),Canadian Food Inspection Agency,"Calgary, AB+1 location","$63,302–$80,094 a year",4.1,Data Analyst
193,newData Analyst – Full Time,DIVISA,"Toronto, ON",,,Data Analyst
194,"newCategory Business Analyst, Party City",Canadian Tire Corporation,"Toronto, ON+1 location",,3.6,Data Analyst
195,newQuality Assurance Analyst,OMERS,"Toronto, ON",,3.4,Data Analyst
196,newMarketing Intelligence Analyst,BMO Financial Group,"Toronto, ON",,3.8,Data Analyst
197,Systems & Data Analyst,Canadian Red Cross,Remote in Canada,,4.0,Data Analyst
198,Data Engineer/Analyst,Software International,"Remote in St. Catharines, ON",,,Data Analyst
199,newBusiness Systems Analyst (C1425),City of London,"London, ON","$55,175–$80,171 a year",3.9,Data Analyst
200,newData Analyst - Fraud,Mistplay,"Montréal, QC",,,Data Analyst
201,database analyst,VGM Wire & Automation,"Edmonton, AB",$42.05 an hour,,Data Analyst
202,Microbiology Analyst (Inventory),Canadian Food Inspection Agency,"Calgary, AB+1 location","$63,302–$80,094 a year",4.1,Data Analyst
203,newData Analyst – Full Time,DIVISA,"Toronto, ON",,,Data Analyst
204,newSenior Data Analyst,Best Buy,"Burnaby, BC",,3.8,Data Analyst
205,"newCategory Business Analyst, Party City",Canadian Tire Corporation,"Toronto, ON+1 location",,3.6,Data Analyst
206,newUnclaimed Property Analyst,"Foresters Financial Services, Inc.","Temporarily Remote in Toronto, ON",,3.4,Data Analyst
207,Data Analyst,Tikinagan Child & Family Services,"Sioux Lookout, ON",,3.3,Data Analyst
208,newBusiness Analyst,BMO Financial Group,"Toronto, ON",,3.8,Data Analyst
209,Business Intelligence Analyst,Penny AI,Remote,"$75,000–$100,000 a year",,Data Analyst
210,Intermediate Data Analyst,AstraNorth,"Toronto, ON","From $100,000 a year",,Data Analyst
211,Senior Data Analyst,Dapper Labs,Remote,,,Data Analyst
212,Data Analyst,Infrastructure Ontario,"Toronto, ON",,3.0,Data Analyst
213,Risk Data Analyst,Equitable Life of Canada,"Waterloo, ON",,3.7,Data Analyst
214,newdatabase analyst,KAN Security Inc.,"Surrey, BC",$38 an hour,,Data Analyst
215,"newAnalyst, Threat Intelligence",Scotiabank,"Toronto, ON",,3.9,Data Analyst
216,Reporting Analyst,Staples,"Vaughan, ON",,3.6,Data Analyst
217,Marketing Data Analyst,Score Media and Gaming Inc.,"Remote in Toronto, ON",,,Data Analyst
218,newAnalyst - Data,Desjardins,"Hybrid remote in Montréal, QC",,3.9,Data Analyst
219,newInsights Analyst,407 ETR,"Woodbridge, ON",,3.8,Data Analyst
220,newjunior business and system analyst,Zen Artech Services,"Vancouver, BC",$25–$40 an hour,,Data Analyst
221,newSenior Economic Policy Analyst,Government of Saskatchewan,"Regina, SK",$37.43–$46.91 an hour,3.8,Data Analyst
222,Business Analyst - Data,Ubisoft,"Montréal, QC",,3.8,Data Analyst
223,"Business Analyst, Sustainability",Canadian Tire Corporation,"Toronto, ON",,3.6,Data Analyst
224,Data Quality Analyst,Saskatchewan Government Insurance,"Regina, SK","$75,564–$95,376 a year",3.6,Data Analyst
225,Senior Data Analyst,Kognitiv Corporation,"Toronto, ON",,,Data Analyst
226,"Data Analyst, Marketing",CAPREIT,"Toronto, ON",,3.2,Data Analyst
227,Data Analyst- Contract,Assent,"Remote in Ottawa, ON",,,Data Analyst
228,newSenior Data Quality Analyst,Workplace Safety and Insurance Board,"Toronto, ON",,3.8,Data Analyst
229,Business Analyst,Porter Airlines Inc.,"Toronto, ON",,3.5,Data Analyst
230,Data Analyst (remote),Mattermost,"Remote in Toronto, ON",,,Data Analyst
231,newAccounting Analyst (Contract) - Hybrid,Moneris Solutions,"Remote in Toronto, ON",,3.4,Data Analyst
232,newData Analyst,Sanofi US,"Toronto, ON",,4.1,Data Analyst
233,Data Analyst- Analytics and Reporting,Alberta Blue Cross,"Remote in Edmonton, AB",,3.7,Data Analyst
234,data analyst - informatics and systems,Quantasphere Business Solutions Inc.,"Remote in Burnaby, BC",$38 an hour,,Data Analyst
235,"Data Analyst, Service Innovation",Myplanet,"Remote in Toronto, ON",,4.5,Data Analyst
236,"Analyst, Due Diligence",Royal Bank of Canada,"Toronto, ON",,4.0,Data Analyst
237,Data Analyst (Pyspark and Snowflake),Software International,"Remote in Brampton, ON",$50 an hour,,Data Analyst
238,Data Analyst,CIRA,"Remote in Ottawa, ON",,5.0,Data Analyst
239,Data Analyst,Virtusa,"Halifax, NS",,3.7,Data Analyst
240,Data Analyst,Virtusa,"Halifax, NS",,3.7,Data Analyst
241,Data analyst with SQL,eTeam Inc.,"Florida, ON",,,Data Analyst
242,Data Analyst,Unity Technologies,"Remote in Toronto, ON",,,Data Analyst
243,Data Governance Analyst,SkipTheDishes,"Winnipeg, MB",,2.9,Data Analyst
244,newSecurities Data Analyst,Royal Bank of Canada,"Toronto, ON",,4.0,Data Analyst
245,"newAnalyst, Data & Analytics- Data Governance",Air Canada,"Montréal, QC",,3.8,Data Analyst
246,"newAnalyst, Data Governance",Sun Life Financial,"Temporarily Remote in Waterloo, ON+2 locations",,3.9,Data Analyst
247,"Data Analyst, Finance",CryptoKitties,"Vancouver, BC",,,Data Analyst
248,Analyst,University of Waterloo,"Waterloo, ON",,4.4,Data Analyst
249,Data Analyst,Lucova,"Toronto, ON",,,Data Analyst
250,"newANALYST, DATA AND ANALYTICS",Ontario Shores Centre for Mental Health Services,"Whitby, ON",,3.7,Data Analyst
251,Data Analyst,Neo Financial,"Calgary, AB",,4.1,Data Analyst
252,Research Analyst – Land and Development,Avison Young Canada,"Markham, ON",,,Data Analyst
253,"newAnalyst, Tax - Transfer Pricing [Co-op Fall 2022]",Grant Thornton,"Toronto, ON+1 location",,3.8,Data Analyst
254,Senior Data Analyst - Remote within Canada,Ratehub,Remote,,,Data Analyst
255,"Analyst, Reporting & Analytics",Intelex Technologies,"Toronto, ON",,3.6,Data Analyst
256,newSr Policy Analyst (Policy & Programs),City of Hamilton,"Hamilton, ON",$46.32–$52.63 an hour,4.2,Data Analyst
257,new22-017 Evaluation & Data Analyst,"CASA Child, Adolescent and Family Mental Health","Edmonton, AB",$29.29–$37.57 an hour,,Data Analyst
258,newSenior Data Analyst,Compest solutions,Remote,,,Data Analyst
259,Media Research Analyst,Cision,"Ottawa, ON",,3.5,Data Analyst
260,newBusiness Analyst,Global Payments,"Hybrid remote in Toronto, ON","$60,000 a year",3.4,Data Analyst
261,Data Analyst,Ainsworth,"Mississauga, ON+2 locations",,3.6,Data Analyst
262,Data Analyst,Michael Page CA,"Toronto, ON",,3.5,Data Analyst
263,analyst - market research,"Paradigm Sample Holdings Canada,ULC","Toronto, ON",$37 an hour,,Data Analyst
264,newsales analyst,ECOBOKA GROUP INC.,"Concord, ON",$33.50 an hour,,Data Analyst
265,newData Analyst,Contrôles Laurentide,"Remote in Kirkland, QC",,3.6,Data Analyst
266,"analyst, database",CHOHAN GROUP LTD,"Edmonton, AB",$42.05 an hour,,Data Analyst
267,newBusiness Analyst,E1 Consulting LLC,Remote,,,Data Analyst
268,Data Analyst,Xylem,"Temporarily Remote in Mississauga, ON",,3.4,Data Analyst
269,newSenior Data Analyst,RouteThis,Remote,,,Data Analyst
270,newSenior Data Analyst,RouteThis,Remote,,,Data Analyst
271,Operations Analyst,Connect Tech,"Guelph, ON",,3.0,Data Analyst
272,"Data Analyst, Business Intelligence (Toronto)",StackAdapt,Canada,,4.5,Data Analyst
273,Accounting Analyst,ETEAM INFOSERVICES PRIVATE LIMITED,Remote in Ontario,$24–$26 an hour,,Data Analyst
274,Junior Analyst,BCAA,Canada,,3.9,Data Analyst
275,IT Data Analyst III,TD Bank,"Toronto, ON",,3.8,Data Analyst
276,Data Reporting Analyst,"SOCAN - Society of Composers, Authors and Music...","Hybrid remote in Toronto, ON+1 location",,3.4,Data Analyst
277,newLead Data Analyst,Cognizant,"Toronto, ON",,3.9,Data Analyst
278,newSenior Business Intelligence and Reporting Analyst,TD Bank,"Toronto, ON+1 location",,3.8,Data Analyst
279,GIS Analyst,Baird & Associates,"Oakville, ON",,,Data Analyst
280,Data Analyst (3-6 Month Contract),Mircom Technologies,"Vaughan, ON",,2.4,Data Analyst
281,Data Analyst,HKJ Marketing,"Richmond, BC",,,Data Analyst
282,HRIS Data Analyst,EMCO Corporation,"London, ON",,3.4,Data Analyst
283,newAnalyst/Sr Analyst – GCS International Marketing Analytics a...,Amex,"Toronto, ON",,4.1,Data Analyst
284,"Data Analyst, Valuation Solutions",FCT,"Hybrid remote in Oakville, ON",,3.1,Data Analyst
285,BI analyst Entry Level (Bootcamp),Helm360,"Toronto, ON","$77,000–$90,000 a year",,Data Analyst
286,newSenior Data Analyst,AMBER STUDIO,"Remote in Montréal, QC",,,Data Analyst
287,Marketing Data Analyst -,Mattermost,Remote in Canada,,,Data Analyst
288,"Analyste, entrée de données / Data Operations Analyst",Equifax,"Remote in Montréal, QC",,3.5,Data Analyst
289,Master Data Analyst (CONTRACT) [#3970],Alteo,"Remote in Montréal, QC",,,Data Analyst
290,Business Analyst,N2P Systems,"Toronto, ON",$45–$50 an hour,,Data Analyst
291,"Analyst, Fall 2022 (Co-op/Internship) - 4 months",BMO Financial Group,"Toronto, ON",,3.8,Data Analyst
292,Data Analyst - Mobile QV,Electronic Arts,"Vancouver, BC",,3.8,Data Analyst
293,newResearch Analyst - Lower 48 Upstream,Wood Mackenzie,"Calgary, AB",,,Data Analyst
294,newEngineering Analyst II - Enbridge,Bluelime Technical Services,"Chatham-Kent, ON",,,Data Analyst
295,"Business Systems Analyst, Supply Chain",Canada Goose Inc.,"Toronto, ON",,3.0,Data Analyst
296,"Data Analyst, Corporate Quality",Extendicare Canada,"Hybrid remote in Markham, ON",,3.3,Data Analyst
297,Data Analyst,CI Investments Inc,"Toronto, ON",,3.1,Data Analyst
298,"Fall 2022 Student Opportunities, Data Analyst, Technology &...",Royal Bank of Canada,"Temporarily Remote in Toronto, ON",,4.0,Data Analyst
299,Data Analyst,Revolution Capital,"Woodbridge, ON",,4.8,Data Analyst
300,Revenue Analyst,Crescent Hotels & Resorts,"Toronto, ON",,4.0,Data Analyst
301,Co-op Student: Data Analyst,TELUS,"Vancouver, BC",,3.9,Data Analyst
302,newRisk Analyst,Bird Construction,"Edmonton, AB",,4.0,Data Analyst
303,"Data Analyst, Consultant - GRCS Risk Consulting",KPMG,"Toronto, ON",,3.9,Data Analyst
304,Support Data Analyst (Python),ATP,Remote,,,Data Analyst
305,Business Analyst Intern,TheAppLabb,"Remote in Toronto, ON",,4.4,Data Analyst
306,Data Analyst,WGames Inc.,"Toronto, ON",,,Data Analyst
307,"newAnalyst, Information Security",CIBC,"Toronto, ON",,3.8,Data Analyst
308,Data Support Sr Analyst,Bank of America,"Toronto, ON",,3.8,Data Analyst
309,Business Analyst,Active Exhaust Corp.,"Toronto, ON",,2.9,Data Analyst
310,Project Analyst II,TD Bank,"Toronto, ON",,3.8,Data Analyst
311,Business Analyst,Remitbee,"Mississauga, ON","$46,715–$60,000 a year",,Data Analyst
312,newData Shared Services Associate Analyst,Royal Bank of Canada,"Halifax, NS",,4.0,Data Analyst
313,newBusiness Analyst,CGI,"Toronto, ON+1 location",,3.6,Data Analyst
314,Sr. IT Data Analyst,TD Bank,"Toronto, ON+1 location",,3.8,Data Analyst
315,newData Shared Services Associate Analyst,Royal Bank of Canada,"Halifax, NS",,4.0,Data Analyst
316,newBusiness Analyst,CGI,"Toronto, ON+1 location",,3.6,Data Analyst
317,Sr. IT Data Analyst,TD Bank,"Toronto, ON+1 location",,3.8,Data Analyst
318,Junior Business Analyst,Centrecorp Management Services Limited,"Markham, ON",,3.7,Data Analyst
319,Research Analyst,PATTISON Outdoor Advertising,"Mississauga, ON",,3.8,Data Analyst
320,"newCustomer Business Analyst, LCL",FERRERO,"Toronto, ON",,4.0,Data Analyst
321,newDatabase Analyst,Royal Victoria Regional Health Centre,"Barrie, ON",$38.98–$45.68 an hour,3.6,Data Analyst
322,newTransfer Pricing Analyst,Magna International Inc.,"Remote in Aurora, ON",,3.6,Data Analyst
323,Junior Database Analyst,HealthHub Solutions,"Mississauga, ON",,,Data Analyst
324,Summer Student - Data Analyst Customs,Toromont CAT,"Hybrid remote in Toronto, ON",,3.6,Data Analyst
325,Data Analyst,Remsoft,"Fredericton, NB",,,Data Analyst
326,Business Support Analyst,BMO Financial Group,"Toronto, ON",,3.8,Data Analyst
327,"newContent Research Analyst, SEO",Angi,"Remote in Toronto, ON+3 locations",,,Data Analyst
328,newPolicy Analyst,Yukon Government,"Whitehorse, YT","$85,241–$98,915 a year",3.8,Data Analyst
329,Business Analyst,Valtech,Remote,,4.0,Data Analyst
330,Data - Analyst -Max Digital,ACV Auctions,"Toronto, ON",,,Data Analyst
331,Data Analyst - Energy,ICF,"Ottawa, ON",,3.4,Data Analyst
332,Business Analyst,Royal Bank of Canada,"Toronto, ON",,4.0,Data Analyst
333,Reinsurance Analyst,LOGiQ3,"Toronto, ON",,,Data Analyst
334,newBusiness Analyst,Alba Inc.,"Toronto, ON+1 location",,,Data Analyst
335,newCompensation and Data Analyst,HollandGroupFinancial,"Toronto, ON",,,Data Analyst
336,newInventory Analyst,Hisense Canada,"Mississauga, ON",,,Data Analyst
337,Digital Marketing Analyst- Porsche Centre Markham,Pfaff Automotive Partners,"Markham, ON","$45,000–$50,000 a year",3.0,Data Analyst
338,Master Data Analyst,Alstom,"Brampton, ON",,4.0,Data Analyst
339,Business Analyst,Dash Hudson,"Remote in Halifax, NS",,,Data Analyst
340,Technical Business Analyst - New College Grad - Toronto,"Guidewire Software, Inc.","Toronto, ON",,3.7,Data Analyst
341,newBusiness Analyst 4-Ops,Oracle,Canada,,3.8,Data Analyst
342,Marketing Analyst,Lone Wolf Technologies,"Remote in Toronto, ON",,2.9,Data Analyst
343,Programmer Analyst – Mainframe,DXC Technology,Ontario,,3.2,Data Analyst
344,newLead Data Analyst,E Inc.,"Toronto, ON",,2.8,Data Analyst
345,"newMarket Analyst, Product (Remote)",Ada Inc.,Remote in Canada,,,Data Analyst
346,newBusiness Metrics Analyst NEW,SaskTel,"Saskatoon, SK",$27.78–$39.90 an hour,4.4,Data Analyst
347,newTemporary - Research Analyst,University Hospital,"London, ON",,3.8,Data Analyst
348,"newElectronic File Analyst, Group Benefits",Manulife,"Waterloo, ON",,4.0,Data Analyst
349,newFinancial Solutions - Data Analyst,Teranet,"Mississauga, ON",,3.9,Data Analyst
